Code,Browser,CLDR Short Name,category
U+1F349,🍉,watermelon,0
U+1F34A,🍊,tangerine,0
U+1F34B,🍋,lemon,0
U+1F34C,🍌,banana,0
U+1F34D,🍍,pineapple,0
U+1F96D,🥭,mango,0
U+1F34E,🍎,red apple,0
U+1F34F,🍏,green apple,0
U+1F350,🍐,pear,0
U+1F351,🍑,peach,0
U+1F352,🍒,cherries,0
U+1F353,🍓,strawberry,0
U+1FAD0,🫐,blueberries,0
U+1F95D,🥝,kiwi fruit,0
U+1F345,🍅,tomato,0
U+1FAD2,🫒,olive,0
U+1F965,🥥,coconut,0
U+1F951,🥑,avocado,0
U+1F346,🍆,eggplant,0
U+1F954,🥔,potato,0
U+1F955,🥕,carrot,0
U+1F33D,🌽,ear of corn,0
U+1F336,🌶,hot pepper,0
U+1FAD1,🫑,bell pepper,0
U+1F952,🥒,cucumber,0
U+1F96C,🥬,leafy green,0
U+1F966,🥦,broccoli,0
U+1F9C4,🧄,garlic,0
U+1F9C5,🧅,onion,0
U+1F344,🍄,mushroom,0
U+1F95C,🥜,peanuts,0
U+1FAD8,🫘,⊛ beans,0
U+1F330,🌰,chestnut,0
U+1F35E,🍞,bread,0
U+1F950,🥐,croissant,0
U+1F956,🥖,baguette bread,0
U+1FAD3,🫓,flatbread,0
U+1F968,🥨,pretzel,0
U+1F96F,🥯,bagel,0
U+1F95E,🥞,pancakes,0
U+1F9C7,🧇,waffle,0
U+1F9C0,🧀,cheese wedge,0
U+1F356,🍖,meat on bone,0
U+1F357,🍗,poultry leg,0
U+1F969,🥩,cut of meat,0
U+1F953,🥓,bacon,0
U+1F354,🍔,hamburger,0
U+1F35F,🍟,french fries,0
U+1F355,🍕,pizza,0
U+1F32D,🌭,hot dog,0
U+1F96A,🥪,sandwich,0
U+1F32E,🌮,taco,0
U+1F32F,🌯,burrito,0
U+1FAD4,🫔,tamale,0
U+1F959,🥙,stuffed flatbread,0
U+1F9C6,🧆,falafel,0
U+1F95A,🥚,egg,0
U+1F373,🍳,cooking,0
U+1F958,🥘,shallow pan of food,0
U+1F372,🍲,pot of food,0
U+1FAD5,🫕,fondue,0
U+1F963,🥣,bowl with spoon,0
U+1F957,🥗,green salad,0
U+1F37F,🍿,popcorn,0
U+1F9C8,🧈,butter,0
U+1F9C2,🧂,salt,0
U+1F96B,🥫,canned food,0
U+1F371,🍱,bento box,0
U+1F358,🍘,rice cracker,0
U+1F359,🍙,rice ball,0
U+1F35A,🍚,cooked rice,0
U+1F35B,🍛,curry rice,0
U+1F35C,🍜,steaming bowl,0
U+1F35D,🍝,spaghetti,0
U+1F360,🍠,roasted sweet potato,0
U+1F362,🍢,oden,0
U+1F363,🍣,sushi,0
U+1F364,🍤,fried shrimp,0
U+1F365,🍥,fish cake with swirl,0
U+1F96E,🥮,moon cake,0
U+1F361,🍡,dango,0
U+1F95F,🥟,dumpling,0
U+1F960,🥠,fortune cookie,0
U+1F961,🥡,takeout box,0
U+1F980,🦀,crab,0
U+1F99E,🦞,lobster,0
U+1F990,🦐,shrimp,0
U+1F991,🦑,squid,0
U+1F9AA,🦪,oyster,0
U+1F366,🍦,soft ice cream,0
U+1F367,🍧,shaved ice,0
U+1F368,🍨,ice cream,0
U+1F369,🍩,doughnut,0
U+1F36A,🍪,cookie,0
U+1F382,🎂,birthday cake,0
U+1F370,🍰,shortcake,0
U+1F9C1,🧁,cupcake,0
U+1F967,🥧,pie,0
U+1F36B,🍫,chocolate bar,0
U+1F36C,🍬,candy,0
U+1F36D,🍭,lollipop,0
U+1F36E,🍮,custard,0
U+1F36F,🍯,honey pot,0
U+1F37C,🍼,baby bottle,0
U+1F95B,🥛,glass of milk,0
U+2615,☕,hot beverage,0
U+1FAD6,🫖,teapot,0
U+1F375,🍵,teacup without handle,0
U+1F376,🍶,sake,0
U+1F37E,🍾,bottle with popping cork,0
U+1F377,🍷,wine glass,0
U+1F378,🍸,cocktail glass,0
U+1F379,🍹,tropical drink,0
U+1F37A,🍺,beer mug,0
U+1F37B,🍻,clinking beer mugs,0
U+1F942,🥂,clinking glasses,0
U+1F943,🥃,tumbler glass,0
U+1FAD7,🫗,⊛ pouring liquid,0
U+1F964,🥤,cup with straw,0
U+1F9CB,🧋,bubble tea,0
U+1F9C3,🧃,beverage box,0
U+1F9C9,🧉,mate,0
U+1F9CA,🧊,ice,0
U+1F962,🥢,chopsticks,0
U+1F37D,🍽,fork and knife with plate,0
U+1F374,🍴,fork and knife,0
U+1F944,🥄,spoon,0
U+1F52A,🔪,kitchen knife,0
U+1FAD9,🫙,⊛ jar,0
U+1F3FA,🏺,amphora,0
U+1F30D,🌍,globe showing Europe-Africa,0
U+1F30E,🌎,globe showing Americas,지역
U+1F30F,🌏,globe showing Asia-Australia,지역
U+1F310,🌐,globe with meridians,0
U+1F5FA,🗺,world map,지역
U+1F5FE,🗾,map of Japan,지역
U+1F9ED,🧭,compass,0
U+1F3D4,🏔,snow-capped mountain,0
U+26F0,⛰,mountain,0
U+1F30B,🌋,volcano,0
U+1F5FB,🗻,mount fuji,0
U+1F3D5,🏕,camping,0
U+1F3D6,🏖,beach with umbrella,0
U+1F3DC,🏜,desert,0
U+1F3DD,🏝,desert island,0
U+1F3DE,🏞,national park,0
U+1F3DF,🏟,stadium,0
U+1F3DB,🏛,classical building,0
U+1F3D7,🏗,building construction,0
U+1F9F1,🧱,brick,0
U+1FAA8,🪨,rock,0
U+1FAB5,🪵,wood,0
U+1F6D6,🛖,hut,0
U+1F3D8,🏘,houses,지역
U+1F3DA,🏚,derelict house,지역
U+1F3E0,🏠,house,지역
U+1F3E1,🏡,house with garden,지역
U+1F3E2,🏢,office building,지역
U+1F3E3,🏣,Japanese post office,0
U+1F3E4,🏤,post office,0
U+1F3E5,🏥,hospital,0
U+1F3E6,🏦,bank,0
U+1F3E8,🏨,hotel,0
U+1F3E9,🏩,love hotel,0
U+1F3EA,🏪,convenience store,0
U+1F3EB,🏫,school,0
U+1F3EC,🏬,department store,0
U+1F3ED,🏭,factory,0
U+1F3EF,🏯,Japanese castle,0
U+1F3F0,🏰,castle,0
U+1F492,💒,wedding,0
U+1F5FC,🗼,Tokyo tower,0
U+1F5FD,🗽,Statue of Liberty,0
U+26EA,⛪,church,0
U+1F54C,🕌,mosque,0
U+1F6D5,🛕,hindu temple,0
U+1F54D,🕍,synagogue,0
U+26E9,⛩,shinto shrine,0
U+1F54B,🕋,kaaba,0
U+26F2,⛲,fountain,0
U+26FA,⛺,tent,0
U+1F301,🌁,foggy,0
U+1F303,🌃,night with stars,0
U+1F3D9,🏙,cityscape,0
U+1F304,🌄,sunrise over mountains,0
U+1F305,🌅,sunrise,0
U+1F306,🌆,cityscape at dusk,0
U+1F307,🌇,sunset,0
U+1F309,🌉,bridge at night,0
U+2668,♨,hot springs,0
U+1F3A0,🎠,carousel horse,0
U+1F6DD,🛝,⊛ playground slide,0
U+1F3A1,🎡,ferris wheel,0
U+1F3A2,🎢,roller coaster,0
U+1F488,💈,barber pole,0
U+1F3AA,🎪,circus tent,0
U+1F682,🚂,locomotive,0
U+1F683,🚃,railway car,0
U+1F684,🚄,high-speed train,0
U+1F685,🚅,bullet train,0
U+1F686,🚆,train,0
U+1F687,🚇,metro,0
U+1F688,🚈,light rail,0
U+1F689,🚉,station,0
U+1F68A,🚊,tram,0
U+1F69D,🚝,monorail,0
U+1F69E,🚞,mountain railway,0
U+1F68B,🚋,tram car,0
U+1F68C,🚌,bus,0
U+1F68D,🚍,oncoming bus,0
U+1F68E,🚎,trolleybus,0
U+1F690,🚐,minibus,0
U+1F691,🚑,ambulance,0
U+1F692,🚒,fire engine,0
U+1F693,🚓,police car,0
U+1F694,🚔,oncoming police car,0
U+1F695,🚕,taxi,0
U+1F696,🚖,oncoming taxi,0
U+1F697,🚗,automobile,0
U+1F698,🚘,oncoming automobile,0
U+1F699,🚙,sport utility vehicle,0
U+1F6FB,🛻,pickup truck,0
U+1F69A,🚚,delivery truck,0
U+1F69B,🚛,articulated lorry,0
U+1F69C,🚜,tractor,0
U+1F3CE,🏎,racing car,0
U+1F3CD,🏍,motorcycle,0
U+1F6F5,🛵,motor scooter,0
U+1F9BD,🦽,manual wheelchair,0
U+1F9BC,🦼,motorized wheelchair,0
U+1F6FA,🛺,auto rickshaw,0
U+1F6B2,🚲,bicycle,0
U+1F6F4,🛴,kick scooter,0
U+1F6F9,🛹,skateboard,0
U+1F6FC,🛼,roller skate,0
U+1F68F,🚏,bus stop,0
U+1F6E3,🛣,motorway,0
U+1F6E4,🛤,railway track,0
U+1F6E2,🛢,oil drum,0
U+26FD,⛽,fuel pump,0
U+1F6DE,🛞,⊛ wheel,0
U+1F6A8,🚨,police car light,0
U+1F6A5,🚥,horizontal traffic light,0
U+1F6A6,🚦,vertical traffic light,0
U+1F6D1,🛑,stop sign,0
U+1F6A7,🚧,construction,0
U+2693,⚓,anchor,0
U+1F6DF,🛟,⊛ ring buoy,0
U+26F5,⛵,sailboat,0
U+1F6F6,🛶,canoe,0
U+1F6A4,🚤,speedboat,0
U+1F6F3,🛳,passenger ship,0
U+26F4,⛴,ferry,0
U+1F6E5,🛥,motor boat,0
U+1F6A2,🚢,ship,0
U+2708,✈,airplane,0
U+1F6E9,🛩,small airplane,0
U+1F6EB,🛫,airplane departure,0
U+1F6EC,🛬,airplane arrival,0
U+1FA82,🪂,parachute,0
U+1F4BA,💺,seat,0
U+1F681,🚁,helicopter,0
U+1F69F,🚟,suspension railway,0
U+1F6A0,🚠,mountain cableway,0
U+1F6A1,🚡,aerial tramway,0
U+1F6F0,🛰,satellite,0
U+1F680,🚀,rocket,0
U+1F6F8,🛸,flying saucer,0
U+1F6CE,🛎,bellhop bell,0
U+1F9F3,🧳,luggage,0
U+231B,⌛,hourglass done,0
U+23F3,⏳,hourglass not done,0
U+231A,⌚,watch,0
U+23F0,⏰,alarm clock,0
U+23F1,⏱,stopwatch,0
U+23F2,⏲,timer clock,0
U+1F570,🕰,mantelpiece clock,0
U+1F55B,🕛,twelve o’clock,0
U+1F567,🕧,twelve-thirty,0
U+1F550,🕐,one o’clock,0
U+1F55C,🕜,one-thirty,0
U+1F551,🕑,two o’clock,0
U+1F55D,🕝,two-thirty,0
U+1F552,🕒,three o’clock,0
U+1F55E,🕞,three-thirty,0
U+1F553,🕓,four o’clock,0
U+1F55F,🕟,four-thirty,0
U+1F554,🕔,five o’clock,0
U+1F560,🕠,five-thirty,0
U+1F555,🕕,six o’clock,0
U+1F561,🕡,six-thirty,0
U+1F556,🕖,seven o’clock,0
U+1F562,🕢,seven-thirty,0
U+1F557,🕗,eight o’clock,0
U+1F563,🕣,eight-thirty,0
U+1F558,🕘,nine o’clock,0
U+1F564,🕤,nine-thirty,0
U+1F559,🕙,ten o’clock,0
U+1F565,🕥,ten-thirty,0
U+1F55A,🕚,eleven o’clock,0
U+1F566,🕦,eleven-thirty,0
U+1F311,🌑,new moon,0
U+1F312,🌒,waxing crescent moon,0
U+1F313,🌓,first quarter moon,0
U+1F314,🌔,waxing gibbous moon,0
U+1F315,🌕,full moon,0
U+1F316,🌖,waning gibbous moon,0
U+1F317,🌗,last quarter moon,0
U+1F318,🌘,waning crescent moon,0
U+1F319,🌙,crescent moon,0
U+1F31A,🌚,new moon face,0
U+1F31B,🌛,first quarter moon face,0
U+1F31C,🌜,last quarter moon face,0
U+1F321,🌡,thermometer,0
U+2600,☀,sun,0
U+1F31D,🌝,full moon face,0
U+1F31E,🌞,sun with face,0
U+1FA90,🪐,ringed planet,0
U+2B50,⭐,star,0
U+1F31F,🌟,glowing star,0
U+1F320,🌠,shooting star,0
U+1F30C,🌌,milky way,0
U+2601,☁,cloud,0
U+26C5,⛅,sun behind cloud,0
U+26C8,⛈,cloud with lightning and rain,0
U+1F324,🌤,sun behind small cloud,0
U+1F325,🌥,sun behind large cloud,0
U+1F326,🌦,sun behind rain cloud,0
U+1F327,🌧,cloud with rain,0
U+1F328,🌨,cloud with snow,0
U+1F329,🌩,cloud with lightning,0
U+1F32A,🌪,tornado,0
U+1F32B,🌫,fog,0
U+1F32C,🌬,wind face,0
U+1F300,🌀,cyclone,0
U+1F308,🌈,rainbow,0
U+1F302,🌂,closed umbrella,0
U+2602,☂,umbrella,0
U+2614,☔,umbrella with rain drops,0
U+26F1,⛱,umbrella on ground,0
U+26A1,⚡,high voltage,0
U+2744,❄,snowflake,0
U+2603,☃,snowman,0
U+26C4,⛄,snowman without snow,0
U+2604,☄,comet,0
U+1F525,🔥,fire,0
U+1F4A7,💧,droplet,0
U+1F30A,🌊,water wave,0
U+1F383,🎃,jack-o-lantern,0
U+1F384,🎄,Christmas tree,0
U+1F386,🎆,fireworks,0
U+1F387,🎇,sparkler,0
U+1F9E8,🧨,firecracker,0
U+2728,✨,sparkles,0
U+1F388,🎈,balloon,0
U+1F389,🎉,party popper,0
U+1F38A,🎊,confetti ball,0
U+1F38B,🎋,tanabata tree,0
U+1F38D,🎍,pine decoration,0
U+1F38E,🎎,Japanese dolls,0
U+1F38F,🎏,carp streamer,0
U+1F390,🎐,wind chime,0
U+1F391,🎑,moon viewing ceremony,0
U+1F9E7,🧧,red envelope,0
U+1F380,🎀,ribbon,0
U+1F381,🎁,wrapped gift,0
U+1F397,🎗,reminder ribbon,0
U+1F39F,🎟,admission tickets,0
U+1F3AB,🎫,ticket,0
U+1F396,🎖,military medal,0
U+1F3C6,🏆,trophy,0
U+1F3C5,🏅,sports medal,0
U+1F947,🥇,1st place medal,0
U+1F948,🥈,2nd place medal,0
U+1F949,🥉,3rd place medal,0
U+26BD,⚽,soccer ball,0
U+26BE,⚾,baseball,0
U+1F94E,🥎,softball,0
U+1F3C0,🏀,basketball,0
U+1F3D0,🏐,volleyball,0
U+1F3C8,🏈,american football,0
U+1F3C9,🏉,rugby football,0
U+1F3BE,🎾,tennis,0
U+1F94F,🥏,flying disc,0
U+1F3B3,🎳,bowling,0
U+1F3CF,🏏,cricket game,0
U+1F3D1,🏑,field hockey,0
U+1F3D2,🏒,ice hockey,0
U+1F94D,🥍,lacrosse,0
U+1F3D3,🏓,ping pong,0
U+1F3F8,🏸,badminton,0
U+1F94A,🥊,boxing glove,0
U+1F94B,🥋,martial arts uniform,0
U+1F945,🥅,goal net,0
U+26F3,⛳,flag in hole,0
U+26F8,⛸,ice skate,0
U+1F3A3,🎣,fishing pole,0
U+1F93F,🤿,diving mask,0
U+1F3BD,🎽,running shirt,0
U+1F3BF,🎿,skis,0
U+1F6F7,🛷,sled,0
U+1F94C,🥌,curling stone,0
U+1F3AF,🎯,bullseye,0
U+1FA80,🪀,yo-yo,0
U+1FA81,🪁,kite,0
U+1F3B1,🎱,pool 8 ball,0
U+1F52E,🔮,crystal ball,0
U+1FA84,🪄,magic wand,0
U+1F9FF,🧿,nazar amulet,0
U+1FAAC,🪬,⊛ hamsa,0
U+1F3AE,🎮,video game,0
U+1F579,🕹,joystick,0
U+1F3B0,🎰,slot machine,0
U+1F3B2,🎲,game die,0
U+1F9E9,🧩,puzzle piece,0
U+1F9F8,🧸,teddy bear,0
U+1FA85,🪅,piñata,0
U+1FAA9,🪩,⊛ mirror ball,0
U+1FA86,🪆,nesting dolls,0
U+2660,♠,spade suit,0
U+2665,♥,heart suit,0
U+2666,♦,diamond suit,0
U+2663,♣,club suit,0
U+265F,♟,chess pawn,0
U+1F0CF,🃏,joker,0
U+1F004,🀄,mahjong red dragon,0
U+1F3B4,🎴,flower playing cards,0
U+1F3AD,🎭,performing arts,0
U+1F5BC,🖼,framed picture,0
U+1F3A8,🎨,artist palette,0
U+1F9F5,🧵,thread,0
U+1FAA1,🪡,sewing needle,0
U+1F9F6,🧶,yarn,0
U+1FAA2,🪢,knot,0
U+1F453,👓,glasses,0
U+1F576,🕶,sunglasses,0
U+1F97D,🥽,goggles,0
U+1F97C,🥼,lab coat,0
U+1F9BA,🦺,safety vest,0
U+1F454,👔,necktie,0
U+1F455,👕,t-shirt,0
U+1F456,👖,jeans,0
U+1F9E3,🧣,scarf,0
U+1F9E4,🧤,gloves,0
U+1F9E5,🧥,coat,0
U+1F9E6,🧦,socks,0
U+1F457,👗,dress,0
U+1F458,👘,kimono,0
U+1F97B,🥻,sari,0
U+1FA71,🩱,one-piece swimsuit,0
U+1FA72,🩲,briefs,0
U+1FA73,🩳,shorts,0
U+1F459,👙,bikini,0
U+1F45A,👚,woman’s clothes,0
U+1F45B,👛,purse,0
U+1F45C,👜,handbag,0
U+1F45D,👝,clutch bag,0
U+1F6CD,🛍,shopping bags,0
U+1F392,🎒,backpack,0
U+1FA74,🩴,thong sandal,0
U+1F45E,👞,man’s shoe,0
U+1F45F,👟,running shoe,0
U+1F97E,🥾,hiking boot,0
U+1F97F,🥿,flat shoe,0
U+1F460,👠,high-heeled shoe,0
U+1F461,👡,woman’s sandal,0
U+1FA70,🩰,ballet shoes,0
U+1F462,👢,woman’s boot,0
U+1F451,👑,crown,0
U+1F452,👒,woman’s hat,0
U+1F3A9,🎩,top hat,0
U+1F393,🎓,graduation cap,0
U+1F9E2,🧢,billed cap,0
U+1FA96,🪖,military helmet,0
U+26D1,⛑,rescue worker’s helmet,0
U+1F4FF,📿,prayer beads,0
U+1F484,💄,lipstick,0
U+1F48D,💍,ring,0
U+1F48E,💎,gem stone,0
U+1F507,🔇,muted speaker,0
U+1F508,🔈,speaker low volume,0
U+1F509,🔉,speaker medium volume,0
U+1F50A,🔊,speaker high volume,0
U+1F4E2,📢,loudspeaker,0
U+1F4E3,📣,megaphone,0
U+1F4EF,📯,postal horn,0
U+1F514,🔔,bell,0
U+1F515,🔕,bell with slash,0
U+1F3BC,🎼,musical score,0
U+1F3B5,🎵,musical note,0
U+1F3B6,🎶,musical notes,0
U+1F399,🎙,studio microphone,0
U+1F39A,🎚,level slider,0
U+1F39B,🎛,control knobs,0
U+1F3A4,🎤,microphone,0
U+1F3A7,🎧,headphone,0
U+1F4FB,📻,radio,0
U+1F3B7,🎷,saxophone,0
U+1FA97,🪗,accordion,0
U+1F3B8,🎸,guitar,0
U+1F3B9,🎹,musical keyboard,0
U+1F3BA,🎺,trumpet,0
U+1F3BB,🎻,violin,0
U+1FA95,🪕,banjo,0
U+1F941,🥁,drum,0
U+1FA98,🪘,long drum,0
U+1F4F1,📱,mobile phone,0
U+1F4F2,📲,mobile phone with arrow,0
U+260E,☎,telephone,0
U+1F4DE,📞,telephone receiver,0
U+1F4DF,📟,pager,0
U+1F4E0,📠,fax machine,0
U+1F50B,🔋,battery,0
U+1FAAB,🪫,⊛ low battery,0
U+1F50C,🔌,electric plug,0
U+1F4BB,💻,laptop,0
U+1F5A5,🖥,desktop computer,0
U+1F5A8,🖨,printer,악플/욕설
U+2328,⌨,keyboard,0
U+1F5B1,🖱,computer mouse,악플/욕설
U+1F5B2,🖲,trackball,0
U+1F4BD,💽,computer disk,0
U+1F4BE,💾,floppy disk,0
U+1F4BF,💿,optical disk,0
U+1F4C0,📀,dvd,0
U+1F9EE,🧮,abacus,0
U+1F3A5,🎥,movie camera,0
U+1F39E,🎞,film frames,0
U+1F4FD,📽,film projector,0
U+1F3AC,🎬,clapper board,0
U+1F4FA,📺,television,0
U+1F4F7,📷,camera,0
U+1F4F8,📸,camera with flash,0
U+1F4F9,📹,video camera,0
U+1F4FC,📼,videocassette,0
U+1F50D,🔍,magnifying glass tilted left,0
U+1F50E,🔎,magnifying glass tilted right,0
U+1F56F,🕯,candle,0
U+1F4A1,💡,light bulb,0
U+1F526,🔦,flashlight,0
U+1F3EE,🏮,red paper lantern,0
U+1FA94,🪔,diya lamp,0
U+1F4D4,📔,notebook with decorative cover,0
U+1F4D5,📕,closed book,0
U+1F4D6,📖,open book,0
U+1F4D7,📗,green book,0
U+1F4D8,📘,blue book,0
U+1F4D9,📙,orange book,0
U+1F4DA,📚,books,0
U+1F4D3,📓,notebook,0
U+1F4D2,📒,ledger,0
U+1F4C3,📃,page with curl,0
U+1F4DC,📜,scroll,0
U+1F4C4,📄,page facing up,0
U+1F4F0,📰,newspaper,0
U+1F5DE,🗞,rolled-up newspaper,0
U+1F4D1,📑,bookmark tabs,0
U+1F516,🔖,bookmark,0
U+1F3F7,🏷,label,0
U+1F4B0,💰,money bag,0
U+1FA99,🪙,coin,0
U+1F4B4,💴,yen banknote,0
U+1F4B5,💵,dollar banknote,0
U+1F4B6,💶,euro banknote,0
U+1F4B7,💷,pound banknote,0
U+1F4B8,💸,money with wings,0
U+1F4B3,💳,credit card,0
U+1F9FE,🧾,receipt,0
U+1F4B9,💹,chart increasing with yen,0
U+2709,✉,envelope,0
U+1F4E7,📧,e-mail,0
U+1F4E8,📨,incoming envelope,0
U+1F4E9,📩,envelope with arrow,0
U+1F4E4,📤,outbox tray,0
U+1F4E5,📥,inbox tray,0
U+1F4E6,📦,package,0
U+1F4EB,📫,closed mailbox with raised flag,0
U+1F4EA,📪,closed mailbox with lowered flag,0
U+1F4EC,📬,open mailbox with raised flag,0
U+1F4ED,📭,open mailbox with lowered flag,0
U+1F4EE,📮,postbox,0
U+1F5F3,🗳,ballot box with ballot,0
U+270F,✏,pencil,0
U+2712,✒,black nib,0
U+1F58B,🖋,fountain pen,0
U+1F58A,🖊,pen,0
U+1F58C,🖌,paintbrush,0
U+1F58D,🖍,crayon,0
U+1F4DD,📝,memo,0
U+1F4BC,💼,briefcase,0
U+1F4C1,📁,file folder,0
U+1F4C2,📂,open file folder,0
U+1F5C2,🗂,card index dividers,0
U+1F4C5,📅,calendar,0
U+1F4C6,📆,tear-off calendar,0
U+1F5D2,🗒,spiral notepad,0
U+1F5D3,🗓,spiral calendar,0
U+1F4C7,📇,card index,0
U+1F4C8,📈,chart increasing,0
U+1F4C9,📉,chart decreasing,0
U+1F4CA,📊,bar chart,0
U+1F4CB,📋,clipboard,0
U+1F4CC,📌,pushpin,0
U+1F4CD,📍,round pushpin,0
U+1F4CE,📎,paperclip,0
U+1F587,🖇,linked paperclips,0
U+1F4CF,📏,straight ruler,0
U+1F4D0,📐,triangular ruler,0
U+2702,✂,scissors,0
U+1F5C3,🗃,card file box,0
U+1F5C4,🗄,file cabinet,0
U+1F5D1,🗑,wastebasket,0
U+1F512,🔒,locked,0
U+1F513,🔓,unlocked,0
U+1F50F,🔏,locked with pen,0
U+1F510,🔐,locked with key,0
U+1F511,🔑,key,0
U+1F5DD,🗝,old key,0
U+1F528,🔨,hammer,0
U+1FA93,🪓,axe,0
U+26CF,⛏,pick,0
U+2692,⚒,hammer and pick,0
U+1F6E0,🛠,hammer and wrench,0
U+1F5E1,🗡,dagger,0
U+2694,⚔,crossed swords,0
U+1F52B,🔫,water pistol,0
U+1FA83,🪃,boomerang,0
U+1F3F9,🏹,bow and arrow,0
U+1F6E1,🛡,shield,0
U+1FA9A,🪚,carpentry saw,0
U+1F527,🔧,wrench,0
U+1FA9B,🪛,screwdriver,0
U+1F529,🔩,nut and bolt,0
U+2699,⚙,gear,0
U+1F5DC,🗜,clamp,0
U+2696,⚖,balance scale,0
U+1F9AF,🦯,white cane,0
U+1F517,🔗,link,0
U+26D3,⛓,chains,0
U+1FA9D,🪝,hook,0
U+1F9F0,🧰,toolbox,0
U+1F9F2,🧲,magnet,0
U+1FA9C,🪜,ladder,0
U+2697,⚗,alembic,0
U+1F9EA,🧪,test tube,0
U+1F9EB,🧫,petri dish,0
U+1F9EC,🧬,dna,0
U+1F52C,🔬,microscope,0
U+1F52D,🔭,telescope,0
U+1F4E1,📡,satellite antenna,0
U+1F489,💉,syringe,0
U+1FA78,🩸,drop of blood,0
U+1F48A,💊,pill,0
U+1FA79,🩹,adhesive bandage,0
U+1FA7C,🩼,⊛ crutch,0
U+1FA7A,🩺,stethoscope,0
U+1FA7B,🩻,⊛ x-ray,0
U+1F6AA,🚪,door,0
U+1F6D7,🛗,elevator,0
U+1FA9E,🪞,mirror,0
U+1FA9F,🪟,window,0
U+1F6CF,🛏,bed,0
U+1F6CB,🛋,couch and lamp,0
U+1FA91,🪑,chair,0
U+1F6BD,🚽,toilet,0
U+1FAA0,🪠,plunger,0
U+1F6BF,🚿,shower,0
U+1F6C1,🛁,bathtub,0
U+1FAA4,🪤,mouse trap,0
U+1FA92,🪒,razor,0
U+1F9F4,🧴,lotion bottle,0
U+1F9F7,🧷,safety pin,0
U+1F9F9,🧹,broom,0
U+1F9FA,🧺,basket,0
U+1F9FB,🧻,roll of paper,0
U+1FAA3,🪣,bucket,0
U+1F9FC,🧼,soap,0
U+1FAE7,🫧,⊛ bubbles,0
U+1FAA5,🪥,toothbrush,0
U+1F9FD,🧽,sponge,0
U+1F9EF,🧯,fire extinguisher,0
U+1F6D2,🛒,shopping cart,0
U+1F6AC,🚬,cigarette,0
U+26B0,⚰,coffin,0
U+1FAA6,🪦,headstone,0
U+26B1,⚱,funeral urn,0
U+1F5FF,🗿,moai,0
U+1FAA7,🪧,placard,0
U+1FAAA,🪪,⊛ identification card,0
U+1F3E7,🏧,ATM sign,0
U+1F6AE,🚮,litter in bin sign,0
U+1F6B0,🚰,potable water,0
U+267F,♿,wheelchair symbol,0
U+1F6B9,🚹,men’s room,0
U+1F6BA,🚺,women’s room,0
U+1F6BB,🚻,restroom,0
U+1F6BC,🚼,baby symbol,0
U+1F6BE,🚾,water closet,0
U+1F6C2,🛂,passport control,0
U+1F6C3,🛃,customs,0
U+1F6C4,🛄,baggage claim,0
U+1F6C5,🛅,left luggage,0
U+26A0,⚠,warning,0
U+1F6B8,🚸,children crossing,기타 혐오
U+26D4,⛔,no entry,0
U+1F6AB,🚫,prohibited,기타 혐오
U+1F6B3,🚳,no bicycles,기타 혐오
U+1F6AD,🚭,no smoking,0
U+1F6AF,🚯,no littering,0
U+1F6B1,🚱,non-potable water,0
U+1F6B7,🚷,no pedestrians,0
U+1F4F5,📵,no mobile phones,기타 혐오
U+1F51E,🔞,no one under eighteen,0
U+2622,☢,radioactive,0
U+2623,☣,biohazard,0
U+2B06,⬆,up arrow,0
U+2197,↗,up-right arrow,0
U+27A1,➡,right arrow,0
U+2198,↘,down-right arrow,0
U+2B07,⬇,down arrow,0
U+2199,↙,down-left arrow,0
U+2B05,⬅,left arrow,0
U+2196,↖,up-left arrow,0
U+2195,↕,up-down arrow,0
U+2194,↔,left-right arrow,0
U+21A9,↩,right arrow curving left,0
U+21AA,↪,left arrow curving right,0
U+2934,⤴,right arrow curving up,0
U+2935,⤵,right arrow curving down,0
U+1F503,🔃,clockwise vertical arrows,0
U+1F504,🔄,counterclockwise arrows button,0
U+1F519,🔙,BACK arrow,0
U+1F51A,🔚,END arrow,0
U+1F51B,🔛,ON! arrow,0
U+1F51C,🔜,SOON arrow,0
U+1F51D,🔝,TOP arrow,0
U+1F6D0,🛐,place of worship,종교
U+269B,⚛,atom symbol,종교
U+1F549,🕉,om,종교
U+2721,✡,star of David,종교
U+2638,☸,wheel of dharma,종교
U+262F,☯,yin yang,종교
U+271D,✝,latin cross,종교
U+2626,☦,orthodox cross,종교
U+262A,☪,star and crescent,종교
U+262E,☮,peace symbol,종교
U+1F54E,🕎,menorah,종교
U+1F52F,🔯,dotted six-pointed star,종교
U+2648,♈,Aries,0
U+2649,♉,Taurus,0
U+264A,♊,Gemini,0
U+264B,♋,Cancer,0
U+264C,♌,Leo,0
U+264D,♍,Virgo,0
U+264E,♎,Libra,0
U+264F,♏,Scorpio,0
U+2650,♐,Sagittarius,0
U+2651,♑,Capricorn,0
U+2652,♒,Aquarius,0
U+2653,♓,Pisces,0
U+26CE,⛎,Ophiuchus,0
U+1F500,🔀,shuffle tracks button,0
U+1F501,🔁,repeat button,0
U+1F502,🔂,repeat single button,0
U+25B6,▶,play button,0
U+23E9,⏩,fast-forward button,0
U+23ED,⏭,next track button,0
U+23EF,⏯,play or pause button,0
U+25C0,◀,reverse button,0
